Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch
"1,583","1,838",18.71%,53.99%,1.52,T,1.55,B,6 APR 23,314,7.71,N,8.00,Z,86,388,24.91%,64.20%
"1,539","9,353",18.61%,46.76%,1.25,T,1.28,B,6 APR 23,315,8.46,H,8.74,X,108,678,25.21%,58.82%
852,"2,291",18.49%,40.02%,1.01,C,1.05,B,6 APR 23,316,9.23,T,9.54,Z,3,161,25.61%,53.94%
275,"1,169",18.43%,33.96%,.82,T,.85,B,6 APR 23,317,10.03,X,10.36,Z,13,75,26.03%,49.46%
"1,906","2,866",18.36%,28.50%,.66,T,.68,T,6 APR 23,318,10.92,N,11.23,Z,109,133,26.80%,45.90%
907,"1,951",18.33%,23.72%,.52,X,.55,B,6 APR 23,319,11.80,N,12.12,Z,15,76,27.51%,42.60%
"1,091","4,119",18.32%,19.59%,.41,B,.44,B,6 APR 23,320,12.70,N,13.03,N,137,297,28.29%,39.71%
537,827,18.25%,15.88%,.31,B,.35,T,6 APR 23,321,13.56,Z,13.99,W,26,68,29.03%,37.03%
381,"2,884",18.28%,12.92%,.24,Q,.28,D,6 APR 23,322,14.55,T,14.94,T,16,17,30.18%,35.24%
444,710,18.44%,10.66%,.20,T,.22,T,6 APR 23,323,15.52,T,15.92,W,<empty>,33,31.33%,33.64%
223,"1,153",18.39%,8.43%,.15,T,.17,T,6 APR 23,324,16.48,C,16.89,H,3,15,32.37%,32.04%
"10,275","3,647",18.60%,6.96%,.12,P,.14,T,6 APR 23,325,17.51,H,17.91,W,23,39,33.90%,31.26%
27,"3,049",18.63%,5.50%,.09,N,.11,D,6 APR 23,326,18.50,T,18.90,T,<empty>,6,35.11%,30.15%
30,561,18.61%,4.25%,.07,T,.08,N,6 APR 23,327,19.50,T,19.90,T,<empty>,7,36.38%,29.24%
81,"2,363",18.79%,3.44%,.05,C,.07,D,6 APR 23,328,20.54,E,20.90,N,<empty>,0,37.83%,28.61%
22,721,19.08%,2.88%,.04,M,.06,T,6 APR 23,329,21.56,E,21.90,N,<empty>,0,39.17%,27.92%
232,"2,412",19.25%,2.32%,.03,X,.05,N,6 APR 23,330,22.50,N,22.90,Z,<empty>,20,40.13%,26.85%
25,55,20.01%,2.24%,.03,T,.05,Q,6 APR 23,331,23.57,E,23.89,D,<empty>,0,41.64%,26.47%
41,79,19.99%,1.71%,.02,C,.04,T,6 APR 23,332,24.57,E,24.90,D,<empty>,0,42.90%,25.86%
50,6,20.29%,1.45%,.02,T,.03,T,6 APR 23,333,25.57,N,25.84,N,<empty>,0,43.82%,24.93%
2,165,20.46%,1.17%,.01,X,.03,T,6 APR 23,334,26.57,N,26.84,N,<empty>,0,45.01%,24.35%
10,292,21.65%,1.34%,.02,N,.03,Z,6 APR 23,335,27.57,N,27.84,N,<empty>,0,46.19%,23.81%
3,106,21.76%,1.08%,.01,C,.03,Z,6 APR 23,336,28.55,E,28.84,E,<empty>,0,47.26%,23.19%
<empty>,0,21.80%,0.84%,.01,T,.02,T,6 APR 23,337,29.57,E,29.83,E,<empty>,0,48.47%,22.75%
<empty>,105,22.45%,0.82%,.01,T,.02,T,6 APR 23,338,30.57,N,30.83,N,<empty>,0,49.63%,22.29%
Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch
54,1,14.10%,8.33%,13.81,Z,14.14,W,10 APR 23,295,1.19,T,1.22,T,89,105,25.09%,33.75%
<empty>,3,16.41%,20.74%,12.12,X,12.45,Z,10 APR 23,297,1.49,X,1.53,T,16,114,24.65%,40.71%
19,0,17.07%,26.95%,11.33,E,11.62,T,10 APR 23,298,1.67,T,1.71,T,143,146,24.45%,44.62%
17,4,17.51%,33.11%,10.53,Z,10.83,Z,10 APR 23,299,1.87,T,1.91,T,10,12,24.26%,48.81%
16,3,17.82%,39.38%,9.77,X,10.04,X,10 APR 23,300,2.09,D,2.13,D,"1,750",144,24.07%,53.26%
37,0,18.03%,45.81%,9.01,Z,9.29,Z,10 APR 23,301,2.33,X,2.37,T,38,33,23.88%,57.96%
24,0,18.16%,52.40%,8.28,Z,8.55,W,10 APR 23,302,2.60,X,2.64,T,61,108,23.72%,62.97%
41,0,18.21%,59.17%,7.58,Z,7.82,H,10 APR 23,303,2.89,X,2.93,T,16,142,23.55%,68.20%
103,1,18.23%,66.23%,6.90,Z,7.13,T,10 APR 23,304,3.20,X,3.25,T,26,181,23.37%,73.64%
61,56,18.26%,73.57%,6.27,X,6.46,E,10 APR 23,305,3.55,X,3.60,T,277,502,23.23%,79.33%
164,37,18.30%,81.14%,5.68,E,5.83,E,10 APR 23,306,3.93,X,4.06,X,234,129,23.29%,85.32%
223,14,18.25%,88.79%,5.08,X,5.24,X,10 APR 23,307,4.33,X,4.48,X,166,44,23.16%,91.29%
59,77,18.16%,96.60%,4.57,T,4.62,T,10 APR 23,308,4.77,X,4.89,N,252,156,22.97%,97.35%
235,89,18.05%,95.75%,4.04,T,4.09,T,10 APR 23,309,5.20,X,5.41,Z,54,408,22.87%,96.59%
373,62,17.87%,88.20%,3.51,X,3.60,T,10 APR 23,310,5.71,X,5.92,Z,57,428,22.78%,90.59%
174,16,17.87%,80.80%,3.10,T,3.15,T,10 APR 23,311,6.27,B,6.48,Z,45,47,22.79%,84.68%
90,25,17.77%,73.42%,2.69,T,2.73,T,10 APR 23,312,6.79,X,7.08,Z,28,27,22.65%,78.74%
255,26,17.65%,66.19%,2.31,T,2.35,T,10 APR 23,313,7.41,Z,7.71,Z,68,16,22.68%,73.04%
288,16,17.54%,59.19%,1.97,T,2.01,T,10 APR 23,314,8.13,T,8.38,Z,8,401,22.89%,67.75%
686,64,17.46%,52.54%,1.67,T,1.71,X,10 APR 23,315,8.81,N,9.09,Z,5,417,22.98%,62.55%
50,102,17.33%,46.12%,1.40,T,1.43,C,10 APR 23,316,9.50,W,9.84,Z,4,3,23.07%,57.57%
84,14,17.14%,39.95%,1.13,X,1.20,T,10 APR 23,317,10.27,Z,10.63,Z,<empty>,0,23.35%,53.15%
7,122,17.14%,34.70%,.96,T,.99,T,10 APR 23,318,11.13,X,11.44,Z,23,18,23.81%,49.34%
25,14,17.09%,29.78%,.79,T,.82,T,10 APR 23,319,11.92,W,12.29,Z,<empty>,0,24.10%,45.53%
92,250,17.09%,25.47%,.65,T,.68,T,10 APR 23,320,12.79,Z,13.18,Z,112,5,24.65%,42.44%
36,6,17.04%,21.49%,.53,P,.55,T,10 APR 23,321,13.73,T,14.07,Z,<empty>,3,25.35%,39.88%
23,14,17.04%,18.10%,.43,T,.45,T,10 APR 23,322,14.61,Z,15.01,T,3,3,25.96%,37.40%
23,1,17.03%,15.10%,.34,T,.37,T,10 APR 23,323,15.59,T,15.95,H,<empty>,0,26.84%,35.61%
19,109,17.08%,12.65%,.28,T,.30,T,10 APR 23,324,16.55,H,16.92,W,<empty>,0,27.72%,33.99%
46,126,17.13%,10.52%,.22,T,.25,X,10 APR 23,325,17.51,H,17.90,H,<empty>,0,28.62%,32.53%
Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch
<empty>,0,--,0.00%,57.61,E,57.91,E,11 APR 23,250,.03,T,.05,T,<empty>,0,43.04%,1.22%
<empty>,0,--,0.00%,47.60,E,47.99,E,11 APR 23,260,.06,T,.10,T,<empty>,0,38.98%,2.42%
<empty>,0,--,0.00%,37.71,E,38.09,Q,11 APR 23,270,.11,T,.13,T,34,0,33.22%,3.87%
<empty>,0,--,0.00%,27.89,E,28.27,W,11 APR 23,280,.27,T,.29,T,32,0,29.34%,8.81%
2,0,0.05%,0.00%,18.47,E,18.79,W,11 APR 23,290,.80,P,.82,P,26,0,26.60%,22.91%
4,0,16.63%,15.85%,14.05,E,14.37,Z,11 APR 23,295,1.38,T,1.41,D,120,0,25.49%,36.36%
18,0,17.35%,21.18%,13.21,E,13.53,Z,11 APR 23,296,1.54,T,1.57,T,162,0,25.30%,39.75%
<empty>,0,17.81%,26.40%,12.38,E,12.70,W,11 APR 23,297,1.71,T,1.74,T,1,0,25.08%,43.29%
<empty>,0,18.16%,31.81%,11.57,E,11.89,Z,11 APR 23,298,1.90,T,1.93,T,8,0,24.88%,47.12%
<empty>,0,18.45%,37.51%,10.79,E,11.10,Z,11 APR 23,299,2.08,C,2.14,D,7,0,24.60%,51.05%
13,0,18.46%,42.82%,10.04,X,10.25,E,11 APR 23,300,2.33,T,2.37,D,"1,514",0,24.47%,55.47%
<empty>,0,18.78%,49.32%,9.28,Z,9.58,Z,11 APR 23,301,2.58,T,2.62,T,2,0,24.29%,60.02%
<empty>,0,18.79%,55.35%,8.56,Z,8.82,H,11 APR 23,302,2.85,T,2.89,T,2,0,24.09%,64.78%
2,0,18.82%,61.75%,7.86,Z,8.11,M,11 APR 23,303,3.12,X,3.19,T,121,0,23.86%,69.71%
3,0,18.83%,68.41%,7.19,Z,7.43,T,11 APR 23,304,3.44,X,3.51,T,46,0,23.68%,74.92%
105,0,18.79%,75.22%,6.56,X,6.75,X,11 APR 23,305,3.78,X,3.86,T,184,0,23.51%,80.32%
306,0,18.76%,82.27%,5.97,X,6.10,X,11 APR 23,306,4.19,T,4.29,X,331,0,23.54%,86.02%
51,0,18.62%,89.42%,5.38,X,5.47,T,11 APR 23,307,4.56,X,4.65,D,51,0,23.21%,91.63%
43,0,18.63%,96.81%,4.86,T,4.91,T,11 APR 23,308,4.99,X,5.15,X,17,0,23.19%,97.48%
5,0,18.55%,96.01%,4.34,T,4.38,T,11 APR 23,309,5.46,E,5.66,X,4,0,23.16%,96.75%
100,0,18.45%,88.98%,3.84,T,3.89,X,11 APR 23,310,5.94,X,6.17,X,6,0,23.02%,91.04%
30,0,18.34%,81.97%,3.38,T,3.43,X,11 APR 23,311,6.51,T,6.72,E,<empty>,0,23.03%,85.40%
61,0,18.20%,74.97%,2.95,T,3.00,X,11 APR 23,312,7.03,T,7.32,Z,65,0,22.93%,79.75%
19,0,18.09%,68.12%,2.56,T,2.61,X,11 APR 23,313,7.64,Q,7.93,Z,<empty>,0,22.91%,74.26%
29,0,17.85%,61.22%,2.16,X,2.25,X,11 APR 23,314,8.26,W,8.59,Z,<empty>,0,22.90%,68.92%
149,0,17.73%,54.73%,1.84,X,1.93,X,11 APR 23,315,8.95,E,9.29,Z,<empty>,0,23.01%,63.91%
39,0,17.71%,48.79%,1.60,D,1.64,C,11 APR 23,316,9.67,E,10.02,Z,<empty>,0,23.16%,59.15%
7,0,17.62%,43.02%,1.35,D,1.39,C,11 APR 23,317,10.43,E,10.78,Z,<empty>,0,23.36%,54.73%
25,0,17.50%,37.55%,1.13,T,1.16,T,11 APR 23,318,11.27,Z,11.58,Z,15,0,23.76%,50.91%
25,0,17.42%,32.58%,.94,T,.97,T,11 APR 23,319,12.05,E,12.42,Z,<empty>,0,24.03%,47.11%
25,0,17.38%,28.13%,.78,T,.81,T,11 APR 23,320,12.94,Z,13.28,Z,5,0,24.56%,44.05%
22,0,17.32%,24.05%,.64,T,.67,T,11 APR 23,321,13.75,W,14.16,Z,5,0,24.85%,40.80%
<empty>,0,17.30%,20.50%,.53,T,.55,T,11 APR 23,322,14.66,W,15.07,Z,7,0,25.46%,38.34%
18,0,17.30%,17.41%,.43,T,.46,N,11 APR 23,323,15.61,E,16.01,H,<empty>,0,26.23%,36.38%
12,0,17.29%,12.26%,.28,T,.31,T,11 APR 23,325,17.54,T,17.92,H,<empty>,0,27.86%,33.13%
10,0,17.41%,4.70%,.09,T,.11,T,11 APR 23,330,22.51,T,22.91,W,<empty>,0,32.83%,28.41%
10,0,19.89%,1.18%,.02,T,.03,T,11 APR 23,340,32.55,E,32.87,E,<empty>,0,42.30%,22.69%
<empty>,0,23.71%,0.59%,.01,T,.02,T,11 APR 23,350,42.55,E,42.85,E,<empty>,0,51.07%,19.14%
Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch
<empty>,16,0.04%,0.00%,25.55,W,25.86,W,14 APR 23,283,.72,I,.74,T,33,319,29.97%,17.89%
4,33,0.04%,0.00%,24.62,D,24.91,D,14 APR 23,284,.79,I,.81,T,264,"1,937",29.74%,19.39%
10,202,0.05%,0.00%,23.70,D,23.98,N,14 APR 23,285,.86,I,.89,T,522,"2,977",29.50%,20.97%
1,283,0.05%,0.00%,22.79,D,23.07,N,14 APR 23,286,.94,D,.97,T,182,729,29.24%,22.65%
<empty>,157,16.09%,3.32%,21.88,D,22.16,N,14 APR 23,287,1.04,T,1.06,T,179,"1,254",29.06%,24.55%
14,250,17.45%,5.55%,21.43,D,21.72,N,14 APR 23,287.5,1.08,I,1.10,T,181,"2,855",28.88%,25.41%
<empty>,285,18.10%,7.20%,20.98,D,21.26,N,14 APR 23,288,1.13,Q,1.15,P,120,"1,368",28.76%,26.40%
<empty>,246,19.22%,10.80%,20.09,D,20.37,W,14 APR 23,289,1.24,P,1.26,P,235,"1,100",28.56%,28.55%
24,"1,024",19.72%,13.81%,19.23,N,19.43,N,14 APR 23,290,1.35,T,1.38,Q,"1,253","4,256",28.33%,30.77%
<empty>,309,20.49%,17.82%,18.33,D,18.63,Z,14 APR 23,291,1.48,T,1.51,C,242,433,28.14%,33.21%
1,313,20.75%,21.07%,17.45,Z,17.76,D,14 APR 23,292,1.62,T,1.65,C,123,"3,460",27.93%,35.77%
8,301,21.08%,23.29%,17.12,I,17.28,X,14 APR 23,292.5,1.67,B,1.72,T,121,450,27.75%,36.96%
6,463,21.12%,24.91%,16.62,D,16.91,N,14 APR 23,293,1.77,T,1.80,D,34,715,27.72%,38.48%
1,472,21.38%,28.78%,15.80,N,16.07,W,14 APR 23,294,1.91,X,1.96,Q,"2,472","1,849",27.45%,41.22%
6,478,21.52%,32.65%,14.96,Z,15.26,W,14 APR 23,295,2.11,T,2.14,Z,865,"6,144",27.32%,44.38%
8,"1,432",21.66%,36.75%,14.16,Z,14.45,W,14 APR 23,296,2.30,T,2.33,T,65,"1,419",27.11%,47.57%
6,318,21.72%,40.92%,13.37,X,13.65,D,14 APR 23,297,2.48,I,2.54,C,356,"1,450",26.86%,50.84%
<empty>,170,21.75%,43.09%,12.98,Z,13.26,N,14 APR 23,297.5,2.61,T,2.65,B,120,401,26.82%,52.68%
5,429,21.80%,45.37%,12.61,T,12.87,N,14 APR 23,298,2.70,C,2.76,T,121,"2,269",26.66%,54.37%
1,180,21.64%,49.53%,11.84,Z,12.05,H,14 APR 23,299,2.93,I,3.00,T,269,799,26.45%,58.04%
129,"1,166",21.68%,54.32%,11.12,E,11.30,E,14 APR 23,300,3.19,I,3.26,Z,"1,455","5,858",26.27%,61.93%
138,910,21.62%,59.14%,10.39,X,10.57,N,14 APR 23,301,3.49,T,3.53,Q,422,432,26.12%,66.00%
33,871,21.70%,64.39%,9.68,Z,9.93,W,14 APR 23,302,3.76,I,3.82,T,95,434,25.88%,70.10%
14,730,21.67%,66.95%,9.34,H,9.58,W,14 APR 23,302.5,3.91,I,3.98,Q,38,492,25.78%,72.24%
98,813,21.63%,69.55%,9.03,N,9.21,I,14 APR 23,303,4.07,X,4.14,C,394,"2,461",25.69%,74.42%
147,916,21.55%,74.87%,8.37,N,8.55,I,14 APR 23,304,4.43,N,4.47,T,711,"1,632",25.54%,78.91%
379,497,21.37%,80.26%,7.70,X,7.90,X,14 APR 23,305,4.76,X,4.83,Q,516,"1,719",25.31%,83.45%
441,503,21.21%,85.84%,7.12,I,7.22,D,14 APR 23,306,5.14,I,5.22,B,908,"1,635",25.14%,88.17%
432,587,21.04%,91.57%,6.52,B,6.61,X,14 APR 23,307,5.55,X,5.62,Q,538,"1,857",24.97%,92.98%
594,930,20.92%,97.45%,5.96,B,6.04,T,14 APR 23,308,5.98,I,6.05,Q,221,967,24.79%,97.87%
"1,226",839,20.83%,96.77%,5.45,T,5.49,T,14 APR 23,309,6.41,X,6.51,Q,"1,070",759,24.59%,97.22%
617,"2,994",20.70%,91.06%,4.94,T,4.98,X,14 APR 23,310,6.90,Q,7.00,Z,320,"1,518",24.46%,92.34%
105,593,20.53%,85.31%,4.45,T,4.49,X,14 APR 23,311,7.40,X,7.62,W,181,651,24.50%,87.52%
651,705,20.37%,79.56%,3.99,T,4.03,X,14 APR 23,312,7.94,I,8.17,Z,30,546,24.39%,82.68%
578,"1,331",20.20%,73.84%,3.56,T,3.60,X,14 APR 23,313,8.49,H,8.74,H,36,204,24.24%,77.84%
"1,742",667,20.08%,68.25%,3.17,T,3.21,X,14 APR 23,314,9.12,X,9.37,C,120,237,24.27%,73.22%
"5,408","1,409",19.90%,62.67%,2.80,T,2.83,T,14 APR 23,315,9.76,I,10.00,W,64,792,24.23%,68.63%
119,"6,426",19.75%,57.26%,2.46,T,2.49,X,14 APR 23,316,10.39,D,10.67,T,6,195,24.14%,64.10%
339,435,19.62%,52.07%,2.15,T,2.19,D,14 APR 23,317,11.13,N,11.37,X,9,129,24.26%,59.97%
337,"3,006",19.51%,47.12%,1.88,T,1.91,C,14 APR 23,318,11.82,N,12.13,Z,12,161,24.31%,55.91%
11,692,19.45%,42.50%,1.63,T,1.68,B,14 APR 23,319,12.65,E,12.89,Z,16,10,24.59%,52.38%
699,"2,874",19.25%,37.84%,1.40,Z,1.43,D,14 APR 23,320,13.39,H,13.70,Z,7,146,24.69%,48.77%
141,689,19.20%,33.77%,1.21,P,1.24,D,14 APR 23,321,14.20,N,14.52,Z,23,30,24.91%,45.52%
220,846,19.09%,29.84%,1.03,X,1.06,T,14 APR 23,322,15.03,E,15.36,Z,4,209,25.16%,42.51%
132,333,19.03%,26.33%,.88,Q,.91,C,14 APR 23,323,15.95,N,16.24,Z,85,1,25.68%,40.18%
88,"2,638",18.96%,23.06%,.75,T,.77,P,14 APR 23,324,16.76,W,17.14,Z,<empty>,11,25.91%,37.50%
"1,218","1,738",18.87%,20.05%,.63,T,.65,T,14 APR 23,325,17.68,E,18.06,Z,<empty>,20,26.44%,35.52%
104,806,18.87%,17.50%,.53,T,.56,D,14 APR 23,326,18.65,N,19.00,W,<empty>,0,27.14%,33.98%
115,17,18.85%,15.16%,.45,T,.47,T,14 APR 23,327,19.58,T,19.95,W,<empty>,0,27.73%,32.37%
93,775,18.86%,13.15%,.38,T,.40,C,14 APR 23,328,20.55,T,20.92,W,<empty>,2,28.48%,31.14%
30,133,18.82%,11.25%,.31,T,.34,D,14 APR 23,329,21.53,T,21.89,W,<empty>,0,29.24%,30.03%
346,"2,200",18.79%,9.59%,.26,D,.28,T,14 APR 23,330,22.54,W,22.87,W,10,17,30.12%,29.18%
20,1,18.86%,8.30%,.22,T,.24,D,14 APR 23,331,23.48,W,23.89,Z,<empty>,0,30.88%,28.23%
13,476,18.84%,7.02%,.18,N,.20,N,14 APR 23,332,24.49,N,24.89,Z,<empty>,0,31.80%,27.58%
4,6,18.89%,6.01%,.15,T,.17,D,14 APR 23,333,25.48,N,25.89,Z,<empty>,0,32.65%,26.87%
2,"2,549",18.84%,5.01%,.12,T,.14,D,14 APR 23,334,26.48,N,26.89,Z,<empty>,6,33.52%,26.25%
233,552,18.93%,4.29%,.10,T,.12,T,14 APR 23,335,27.48,N,27.89,Z,<empty>,2,34.38%,25.66%
51,154,18.92%,3.58%,.08,T,.10,T,14 APR 23,336,28.48,C,28.89,Z,<empty>,3,35.23%,25.10%
1,73,19.34%,2.80%,.06,T,.08,D,14 APR 23,338,30.55,E,30.84,E,<empty>,0,37.00%,24.16%
127,266,19.52%,2.04%,.04,T,.06,N,14 APR 23,340,32.56,D,32.83,N,<empty>,0,38.66%,23.23%
Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch
<empty>,227,0.04%,0.00%,29.94,C,30.28,W,21 APR 23,279,.91,T,.94,T,"1,417","1,802",30.09%,19.08%
77,"1,838",0.04%,0.00%,29.05,N,29.28,N,21 APR 23,280,.98,T,1.01,T,"3,931","84,384",29.86%,20.35%
<empty>,189,18.06%,3.97%,28.10,D,28.42,N,21 APR 23,281,1.06,T,1.08,T,470,"5,893",29.63%,21.69%
1,675,19.39%,6.55%,27.18,D,27.51,D,21 APR 23,282,1.14,T,1.16,T,302,"10,423",29.39%,23.11%
2,910,20.28%,9.12%,26.28,D,26.60,Z,21 APR 23,283,1.23,Q,1.25,Q,105,"5,030",29.19%,24.67%
4,838,20.83%,11.49%,25.37,D,25.70,Z,21 APR 23,284,1.32,Q,1.34,T,"1,990","4,883",28.94%,26.23%
18,"1,371",21.27%,13.95%,24.48,D,24.80,W,21 APR 23,285,1.42,T,1.44,T,"40,791","115,172",28.72%,27.93%
2,621,21.54%,16.31%,23.58,Z,23.91,W,21 APR 23,286,1.53,T,1.56,C,417,"5,030",28.54%,29.81%
1,808,21.84%,18.97%,22.71,Z,23.03,W,21 APR 23,287,1.65,Q,1.67,C,77,"5,071",28.32%,31.70%
<empty>,"1,306",22.01%,21.55%,21.83,Z,22.16,Z,21 APR 23,288,1.77,T,1.80,B,"1,042","17,563",28.11%,33.71%
1,"4,381",22.18%,24.32%,21.04,D,21.23,C,21 APR 23,289,1.90,B,1.93,T,198,"7,740",27.88%,35.80%
27,"19,091",22.22%,26.98%,20.16,N,20.38,X,21 APR 23,290,2.06,N,2.07,N,"23,531","78,121",27.70%,38.09%
113,"2,240",22.26%,29.82%,19.31,I,19.53,N,21 APR 23,291,2.20,I,2.23,Q,704,"22,786",27.48%,40.41%
7,"4,207",22.33%,32.90%,18.49,D,18.69,I,21 APR 23,292,2.37,D,2.40,X,591,"16,987",27.30%,42.92%
21,"1,608",22.49%,36.36%,17.65,Z,17.94,W,21 APR 23,293,2.54,I,2.57,T,117,"13,159",27.08%,45.46%
55,"3,242",22.49%,39.61%,16.86,E,17.11,I,21 APR 23,294,2.72,B,2.76,Z,288,"7,767",26.87%,48.14%
467,"33,123",22.46%,42.95%,16.06,Z,16.31,I,21 APR 23,295,2.92,B,2.96,T,"14,236","51,808",26.67%,50.97%
228,"5,600",22.40%,46.40%,15.28,E,15.51,I,21 APR 23,296,3.13,B,3.18,X,705,"7,941",26.48%,53.93%
22,"2,427",22.40%,50.11%,14.50,Z,14.77,Z,21 APR 23,297,3.37,I,3.41,X,654,"3,295",26.32%,57.05%
71,"3,161",22.20%,53.59%,13.77,C,13.92,T,21 APR 23,298,3.59,C,3.65,X,642,"4,084",26.08%,60.17%
392,"8,294",22.23%,57.67%,13.02,C,13.24,I,21 APR 23,299,3.85,B,3.91,B,527,"7,161",25.90%,63.50%
"5,602","47,466",22.16%,61.70%,12.32,I,12.50,I,21 APR 23,300,4.13,B,4.23,C,"11,587","62,560",25.81%,67.06%
185,"4,353",22.08%,65.85%,11.60,E,11.81,I,21 APR 23,301,4.42,C,4.47,Q,552,"2,955",25.54%,70.50%
476,"3,668",21.93%,70.03%,10.89,Z,11.11,X,21 APR 23,302,4.74,D,4.78,Z,356,"3,967",25.38%,74.19%
331,"3,693",21.80%,74.37%,10.21,W,10.43,I,21 APR 23,303,5.04,B,5.11,X,"2,527","12,516",25.16%,77.92%
829,"5,387",21.66%,78.85%,9.57,X,9.75,X,21 APR 23,304,5.38,I,5.45,Q,342,"4,464",24.97%,81.79%
"3,068","51,524",21.51%,83.43%,8.99,N,9.04,N,21 APR 23,305,5.77,H,5.80,Z,"3,969","53,519",24.82%,85.77%
"1,951","4,313",21.38%,88.15%,8.38,Z,8.42,Z,21 APR 23,306,6.16,Z,6.19,Z,"2,150","6,182",24.67%,89.84%
"1,481","6,463",21.26%,92.97%,7.78,Z,7.84,B,21 APR 23,307,6.56,Z,6.60,X,"1,116","2,488",24.50%,93.97%
"2,723","5,455",21.05%,97.86%,7.19,D,7.24,C,21 APR 23,308,6.97,I,7.03,Z,"1,715","3,783",24.32%,98.17%
"1,101","6,537",20.92%,97.31%,6.66,T,6.68,Q,21 APR 23,309,7.43,H,7.47,Q,361,"1,998",24.17%,97.64%
"6,926","59,493",20.79%,92.56%,6.12,Z,6.17,B,21 APR 23,310,7.92,T,7.95,X,"6,532","18,863",24.06%,93.49%
"1,272","3,292",20.62%,87.77%,5.62,T,5.65,X,21 APR 23,311,8.32,I,8.53,W,840,"1,098",23.90%,89.30%
"1,758","15,812",20.44%,82.94%,5.13,T,5.16,T,21 APR 23,312,8.85,X,9.06,X,368,"3,724",23.79%,85.14%
526,"2,662",20.29%,78.13%,4.67,T,4.71,X,21 APR 23,313,9.38,I,9.61,Z,228,"3,703",23.65%,80.96%
905,"8,159",20.12%,73.33%,4.24,T,4.27,Q,21 APR 23,314,9.95,X,10.20,C,538,"3,807",23.57%,76.86%
"6,914","25,313",19.95%,68.55%,3.83,T,3.86,Q,21 APR 23,315,10.55,X,10.80,I,"2,798","8,552",23.48%,72.79%
248,"12,592",19.80%,63.87%,3.45,T,3.48,X,21 APR 23,316,11.18,I,11.44,Z,138,"1,020",23.44%,68.84%
600,"9,471",19.60%,59.16%,3.06,C,3.13,B,21 APR 23,317,11.82,T,12.09,Z,6,596,23.37%,64.92%
"1,285","8,297",19.52%,54.79%,2.77,T,2.80,B,21 APR 23,318,12.51,I,12.79,Z,44,792,23.39%,61.22%
553,"2,404",19.40%,50.46%,2.47,T,2.50,X,21 APR 23,319,13.18,Z,13.50,Z,14,502,23.33%,57.50%
"10,444","81,599",19.26%,46.24%,2.19,T,2.22,Q,21 APR 23,320,14.02,N,14.23,X,"2,589","11,715",23.55%,54.35%
195,"2,366",19.14%,42.21%,1.94,T,1.96,Q,21 APR 23,321,14.72,T,15.02,Z,15,219,23.56%,50.99%
484,"8,603",19.05%,38.44%,1.71,T,1.74,T,21 APR 23,322,15.46,Z,15.81,Z,12,322,23.58%,47.77%
591,"1,739",18.91%,34.75%,1.49,B,1.53,T,21 APR 23,323,16.32,T,16.63,Z,<empty>,236,23.84%,45.12%
89,"5,177",18.88%,31.49%,1.32,T,1.35,Q,21 APR 23,324,17.15,T,17.46,Z,3,408,24.01%,42.45%
"1,820","16,927",18.78%,28.28%,1.15,X,1.18,T,21 APR 23,325,18.05,N,18.33,Z,51,372,24.38%,40.27%
124,"2,791",18.73%,25.40%,1.01,T,1.03,T,21 APR 23,326,18.85,Z,19.22,Z,<empty>,131,24.51%,37.80%
244,"1,314",18.68%,22.73%,.88,T,.90,T,21 APR 23,327,19.74,Z,20.12,Z,23,33,24.84%,35.81%
366,"1,915",18.61%,20.19%,.76,X,.78,T,21 APR 23,328,20.71,N,21.05,X,6,88,25.40%,34.38%
116,"1,729",18.58%,17.97%,.66,T,.68,T,21 APR 23,329,21.63,X,21.98,H,<empty>,10,25.81%,32.78%
"4,046","44,963",18.55%,15.92%,.57,T,.59,T,21 APR 23,330,22.62,E,22.94,N,7,"4,218",26.46%,31.71%
473,"3,655",18.58%,12.53%,.43,T,.45,W,21 APR 23,332,24.53,T,24.88,H,<empty>,12,27.58%,29.47%
24,"1,589",18.48%,9.54%,.31,T,.33,T,21 APR 23,334,26.48,W,26.89,X,<empty>,10,28.96%,27.93%
400,"21,622",18.55%,8.45%,.27,T,.29,C,21 APR 23,335,27.52,T,27.89,W,2,130,29.81%,27.49%
353,"1,418",18.55%,7.38%,.23,T,.25,T,21 APR 23,336,28.49,N,28.89,X,<empty>,139,30.45%,26.76%
266,"1,727",18.55%,5.57%,.17,P,.18,T,21 APR 23,338,30.48,W,30.89,X,<empty>,1,31.86%,25.62%
