Stock quote and option quote for SPY on 3/28/23 22:19:09

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
395.60,P,-.89,397.60, ,397.76, ,"3,000 x 5,000","62,871,680",395.77,396.49,393.69

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
0,1.52%,72.72,1.506,Q,3/17/23,461.195,348.11,"856,432,000",1

28 MAR 23  (-1)  100

29 MAR 23  (0)  100 (Weeklys)

30 MAR 23  (1)  100

31 MAR 23  (2)  100 (Quarterlys)
,,Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch,,
,,221,"1,103",13.70%,12.54%,.22,Q,.23,Z,5 APR 23,410,13.72,X,14.35,Q,41,72,26.37%,41.96%,,
,,45,187,13.80%,10.04%,.17,Q,.18,I,5 APR 23,411,14.71,X,15.36,Q,2,0,27.58%,40.45%,,
,,265,448,13.89%,7.94%,.13,Q,.14,Z,5 APR 23,412,15.71,X,16.36,Q,4,1,28.78%,39.06%,,
,,30,165,14.02%,6.33%,.10,Q,.11,Z,5 APR 23,413,16.71,X,17.30,C,1,4,29.77%,37.50%,,
,,81,60,13.96%,4.72%,.07,I,.08,Q,5 APR 23,414,17.71,X,18.36,Q,<empty>,21,31.12%,36.61%,,
,,148,276,14.34%,4.05%,.06,Q,.07,Z,5 APR 23,415,18.71,X,19.36,Q,<empty>,0,32.27%,35.52%,,
,,12,232,14.24%,2.93%,.04,Z,.05,N,5 APR 23,416,19.71,X,20.36,Q,<empty>,0,33.40%,34.51%,,
,,<empty>,486,14.40%,2.31%,.03,Z,.04,Q,5 APR 23,417,20.71,X,21.36,Q,<empty>,0,34.51%,33.56%,,
,,64,107,15.03%,2.22%,.03,Q,.04,Z,5 APR 23,418,21.71,X,22.36,Q,<empty>,0,35.62%,32.68%,,
,,12,13,15.04%,1.66%,.02,Z,.03,Q,5 APR 23,419,22.71,X,23.36,Q,<empty>,0,36.71%,31.85%,,
,,13,508,15.64%,1.60%,.02,Z,.03,Z,5 APR 23,420,23.71,X,24.36,Q,<empty>,0,37.79%,31.07%,,
,,<empty>,134,15.24%,0.99%,.01,Z,.02,Q,5 APR 23,421,24.71,X,25.36,Q,<empty>,0,38.86%,30.33%,,
,,50,3,15.81%,0.95%,.01,Z,.02,Q,5 APR 23,422,25.71,X,26.36,Q,<empty>,0,39.92%,29.64%,,

6 APR 23  (8)  100 (Weeklys)
,,Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch,,
,,<empty>,"2,664",--,0.00%,20.59,Q,21.17,Q,6 APR 23,376,.36,N,.37,I,694,"4,268",23.72%,12.49%,,
,,2,"2,114",--,0.00%,19.64,Q,20.21,Q,6 APR 23,377,.41,Q,.42,I,242,"7,550",23.51%,14.01%,,
,,2,"2,759",--,0.00%,18.71,Q,19.26,Q,6 APR 23,378,.46,I,.47,N,781,"3,332",23.21%,15.56%,,
,,1,"1,119",--,0.00%,17.78,Q,18.32,Q,6 APR 23,379,.52,I,.54,I,765,"3,580",23.02%,17.46%,,
,,32,878,--,0.00%,16.86,Q,17.39,Q,6 APR 23,380,.60,N,.61,I,"4,035","14,130",22.84%,19.59%,,
,,<empty>,643,--,0.00%,15.95,Q,16.46,Q,6 APR 23,381,.68,Q,.69,I,695,"6,422",22.62%,21.85%,,
,,347,"1,261",--,0.00%,15.06,Q,15.55,Q,6 APR 23,382,.77,I,.78,N,"1,208","7,212",22.40%,24.34%,,
,,5,744,--,0.00%,14.17,Q,14.65,X,6 APR 23,383,.88,P,.89,I,"1,917","3,285",22.25%,27.22%,,
,,246,963,--,0.00%,13.29,X,13.76,X,6 APR 23,384,1.00,Z,1.01,I,"2,735","3,495",22.07%,30.31%,,
,,103,"1,325",0.06%,0.00%,12.44,X,12.89,X,6 APR 23,385,1.13,W,1.15,W,"4,073","29,072",21.91%,33.68%,,
,,15,"1,196",0.07%,0.00%,11.60,X,12.03,X,6 APR 23,386,1.28,I,1.30,N,"2,247","3,112",21.73%,37.32%,,
,,8,"3,088",10.41%,8.50%,10.80,X,11.19,X,6 APR 23,387,1.45,I,1.47,T,849,"5,745",21.58%,41.28%,,
,,<empty>,"1,847",11.44%,13.61%,10.40,X,10.78,X,6 APR 23,387.5,1.55,Z,1.57,I,"1,070","4,626",21.54%,43.48%,,
,,19,"1,873",12.09%,18.03%,10.00,X,10.37,X,6 APR 23,388,1.65,Z,1.67,I,924,"2,244",21.48%,45.68%,,
,,22,"1,880",13.02%,26.60%,9.22,X,9.58,X,6 APR 23,389,1.86,Z,1.88,I,692,"2,054",21.33%,50.23%,,
,,456,"3,720",13.38%,33.93%,8.47,X,8.73,X,6 APR 23,390,2.09,E,2.11,T,"10,877","18,342",21.16%,55.05%,,
,,285,"1,533",14.09%,43.11%,7.76,C,8.05,X,6 APR 23,391,2.35,E,2.37,T,620,"2,276",21.03%,60.21%,,
,,"3,243","2,396",14.08%,50.39%,7.03,B,7.24,P,6 APR 23,392,2.64,Z,2.66,P,"1,722","2,169",20.92%,65.68%,,
,,472,"1,448",14.46%,55.37%,6.80,B,6.88,N,6 APR 23,392.5,2.79,Z,2.81,N,641,"2,223",20.85%,68.48%,,
,,"1,568","1,390",14.55%,59.55%,6.46,B,6.54,N,6 APR 23,393,2.95,Z,2.97,N,"5,496","8,060",20.79%,71.35%,,
,,"4,050","2,223",14.67%,68.03%,5.81,B,5.87,P,6 APR 23,394,3.29,E,3.32,I,"2,180","5,872",20.68%,77.29%,,
,,"6,367","2,815",14.75%,76.72%,5.20,P,5.23,E,6 APR 23,395,3.67,Z,3.69,P,"7,167","9,833",20.57%,83.41%,,
,,"5,060","2,681",14.79%,85.58%,4.62,N,4.63,N,6 APR 23,396,4.08,Z,4.11,I,"3,628","4,943",20.51%,89.72%,,
,,"2,280","2,294",14.78%,94.56%,4.05,I,4.08,Z,6 APR 23,397,4.53,Z,4.56,P,"5,118","4,110",20.46%,96.13%,,
,,635,"1,456",14.77%,99.09%,3.79,P,3.81,Z,6 APR 23,397.5,4.77,Z,4.79,N,801,"3,101",20.43%,99.35%,,
,,"1,391","2,867",14.75%,96.56%,3.53,I,3.56,N,6 APR 23,398,5.01,E,5.04,N,"1,853","2,794",20.40%,97.47%,,
,,"1,533","2,323",14.70%,87.94%,3.05,I,3.08,E,6 APR 23,399,5.51,B,5.60,Z,316,"3,888",20.42%,91.17%,,
,,"6,345","4,623",14.62%,79.35%,2.61,I,2.63,Z,6 APR 23,400,6.08,B,6.17,N,"1,676","4,164",20.47%,84.96%,,
,,973,"1,623",14.54%,70.91%,2.21,I,2.23,N,6 APR 23,401,6.67,B,6.91,X,47,"2,975",20.78%,79.14%,,
,,"2,019","3,629",14.44%,62.70%,1.85,E,1.87,N,6 APR 23,402,7.19,X,7.58,X,18,799,20.68%,73.11%,,
,,"2,478",985,14.41%,58.76%,1.69,Z,1.71,I,6 APR 23,402.5,7.53,X,7.94,X,7,"1,259",20.81%,70.38%,,
,,"2,267","2,447",14.33%,54.80%,1.53,I,1.55,N,6 APR 23,403,8.01,B,8.30,X,36,"1,497",21.22%,68.10%,,
,,"5,170","3,566",14.23%,47.32%,1.25,I,1.27,N,6 APR 23,404,8.74,X,9.06,X,78,"1,442",21.54%,63.14%,,
,,"3,867","4,838",14.13%,40.38%,1.01,I,1.03,I,6 APR 23,405,9.36,X,9.87,Q,444,"2,462",21.62%,58.08%,,
,,"2,405","11,703",14.06%,34.10%,.81,I,.83,W,6 APR 23,406,10.17,X,10.72,Q,15,"1,104",22.14%,54.06%,,
,,904,"4,590",14.01%,28.52%,.65,N,.66,I,6 APR 23,407,11.02,X,11.60,Q,18,872,22.75%,50.53%,,
,,875,"2,242",13.93%,25.78%,.57,I,.58,N,6 APR 23,407.5,11.45,X,12.04,Q,1,735,23.05%,48.86%,,
,,"1,998","12,934",13.95%,23.52%,.51,N,.52,Z,6 APR 23,408,11.90,X,12.50,Q,29,744,23.43%,47.43%,,
,,"1,122","4,776",13.84%,18.99%,.39,I,.40,N,6 APR 23,409,12.81,X,13.42,Q,<empty>,639,24.19%,44.75%,,
,,"2,524","15,369",13.91%,15.61%,.31,Q,.32,Z,6 APR 23,410,13.75,X,14.38,Q,109,"1,088",25.09%,42.58%,,
,,"1,330","3,740",13.92%,12.59%,.24,N,.25,Z,6 APR 23,411,14.74,C,15.36,Q,5,694,26.15%,40.91%,,
,,449,"15,391",13.87%,9.91%,.18,I,.19,N,6 APR 23,412,15.82,C,16.36,Q,14,"1,191",27.52%,39.90%,,
,,59,830,13.93%,8.94%,.16,I,.17,N,6 APR 23,412.5,16.21,X,16.86,Q,<empty>,2,27.76%,38.72%,,
,,398,"1,531",13.96%,7.98%,.14,I,.15,N,6 APR 23,413,16.71,X,17.36,Q,<empty>,3,28.31%,38.09%,,
,,76,"2,102",13.86%,6.04%,.10,I,.11,P,6 APR 23,414,17.71,X,18.36,Q,<empty>,29,29.41%,36.91%,,
,,818,"4,624",14.04%,4.95%,.08,Z,.09,Q,6 APR 23,415,18.71,X,19.36,Q,2,23,30.49%,35.81%,,
,,159,"2,199",14.42%,4.32%,.07,Q,.08,Z,6 APR 23,416,19.73,C,20.30,C,<empty>,0,31.42%,34.60%,,
,,93,"3,119",14.39%,3.28%,.05,Z,.06,D,6 APR 23,417,20.71,X,21.36,Q,<empty>,0,32.60%,33.84%,,
,,352,"1,900",14.60%,2.70%,.04,Z,.05,N,6 APR 23,418,21.71,X,22.36,Q,<empty>,1,33.64%,32.95%,,
,,100,"3,708",14.70%,2.14%,.03,Z,.04,W,6 APR 23,419,22.71,X,23.36,Q,<empty>,0,34.67%,32.12%,,

10 APR 23  (12)  100 (Weeklys)
,,Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch,,
,,<empty>,0,--,0.00%,31.44,Q,32.06,Q,10 APR 23,365,.20,Q,.21,I,232,0,24.81%,6.35%,,
,,<empty>,0,--,0.00%,26.57,Q,27.16,Q,10 APR 23,370,.31,I,.32,Q,796,0,23.33%,9.65%,,
,,<empty>,0,--,0.00%,21.81,Q,22.36,Q,10 APR 23,375,.53,N,.54,I,"1,007",0,22.27%,15.61%,,
,,<empty>,0,--,0.00%,20.87,Q,21.42,Q,10 APR 23,376,.58,I,.60,I,71,0,22.02%,17.08%,,
,,<empty>,0,--,0.00%,19.95,Q,20.48,Q,10 APR 23,377,.65,I,.66,N,63,0,21.80%,18.75%,,
,,<empty>,0,--,0.00%,19.03,Q,19.55,Q,10 APR 23,378,.73,P,.74,W,35,0,21.65%,20.72%,,
,,<empty>,0,--,0.00%,18.13,Q,18.63,Q,10 APR 23,379,.81,Q,.82,N,79,0,21.44%,22.71%,,
,,10,1,--,0.00%,17.23,Q,17.72,Q,10 APR 23,380,.90,I,.92,I,742,"2,076",21.27%,24.98%,,
,,<empty>,0,--,0.00%,16.35,Q,16.82,X,10 APR 23,381,1.01,P,1.02,I,207,0,21.10%,27.43%,,
,,<empty>,0,0.05%,0.00%,15.46,X,15.93,X,10 APR 23,382,1.12,E,1.14,W,497,169,20.93%,30.07%,,
,,<empty>,0,0.05%,0.00%,14.60,X,15.05,X,10 APR 23,383,1.25,W,1.27,W,125,36,20.77%,32.96%,,
,,1,2,0.06%,0.00%,13.76,X,14.19,X,10 APR 23,384,1.39,I,1.41,I,135,174,20.60%,36.01%,,
,,1,10,10.20%,8.23%,12.94,Q,13.34,X,10 APR 23,385,1.55,W,1.57,W,317,88,20.46%,39.37%,,
,,<empty>,5,12.13%,17.99%,12.24,B,12.51,X,10 APR 23,386,1.73,Z,1.74,P,426,26,20.32%,42.94%,,
,,<empty>,5,12.68%,24.14%,11.41,X,11.69,X,10 APR 23,387,1.92,Z,1.94,I,221,218,20.19%,46.77%,,
,,7,3,13.15%,30.70%,10.62,X,10.90,X,10 APR 23,388,2.13,Z,2.15,I,286,248,20.04%,50.80%,,
,,14,0,13.47%,37.19%,9.85,X,10.12,X,10 APR 23,389,2.36,Z,2.38,Z,151,28,19.90%,55.07%,,
,,29,7,13.72%,43.87%,9.11,X,9.36,X,10 APR 23,390,2.61,Z,2.63,Z,645,401,19.76%,59.56%,,
,,57,2,13.84%,50.51%,8.39,X,8.60,T,10 APR 23,391,2.88,Z,2.90,N,234,26,19.62%,64.26%,,
,,153,22,13.82%,57.10%,7.63,X,7.88,T,10 APR 23,392,3.17,Z,3.20,I,266,35,19.48%,69.19%,,
,,291,114,14.04%,64.70%,7.07,B,7.15,Z,10 APR 23,393,3.49,Z,3.52,I,362,96,19.35%,74.32%,,
,,"1,230",94,14.07%,72.06%,6.44,E,6.47,Z,10 APR 23,394,3.84,Z,3.86,N,"1,267",741,19.22%,79.63%,,
,,"1,324",25,14.06%,79.59%,5.81,E,5.84,T,10 APR 23,395,4.21,E,4.24,P,"1,948",423,19.10%,85.13%,,
,,949,267,14.07%,87.34%,5.22,I,5.25,N,10 APR 23,396,4.62,Z,4.65,I,"1,181",981,19.02%,90.77%,,
,,585,774,14.03%,95.22%,4.66,P,4.68,N,10 APR 23,397,5.06,Z,5.09,P,314,211,18.93%,96.52%,,
,,374,930,13.97%,97.02%,4.13,I,4.15,N,10 APR 23,398,5.53,E,5.56,N,238,395,18.86%,97.75%,,
,,133,125,13.91%,89.55%,3.63,E,3.66,I,10 APR 23,399,6.00,B,6.10,Z,86,43,18.80%,92.12%,,
,,626,231,13.83%,82.08%,3.17,E,3.20,I,10 APR 23,400,6.56,B,6.65,T,200,110,18.82%,86.55%,,
,,283,23,13.75%,74.66%,2.75,I,2.77,T,10 APR 23,401,7.11,B,7.36,X,4,40,19.00%,81.22%,,
,,679,111,13.65%,67.34%,2.36,I,2.38,N,10 APR 23,402,7.73,B,7.99,X,4,2,19.07%,75.94%,,
,,558,58,13.55%,60.24%,2.01,I,2.03,N,10 APR 23,403,8.39,B,8.59,X,10,1,19.06%,70.70%,,
,,248,200,13.47%,53.44%,1.70,T,1.72,Z,10 APR 23,404,9.06,B,9.29,X,1,2,19.15%,65.77%,,
,,"1,850",356,13.37%,46.91%,1.42,I,1.44,Z,10 APR 23,405,9.80,B,10.04,X,7,15,19.38%,61.28%,,
,,555,141,13.27%,40.78%,1.18,P,1.19,N,10 APR 23,406,10.46,X,10.94,Q,5,5,19.67%,57.14%,,
,,99,628,13.19%,35.14%,.97,W,.98,N,10 APR 23,407,11.26,X,11.77,Q,<empty>,4,20.02%,53.39%,,
,,966,"3,888",13.14%,30.07%,.79,I,.81,I,10 APR 23,408,12.09,X,12.63,Q,4,1,20.44%,50.02%,,
,,111,361,13.08%,25.47%,.64,I,.66,Z,10 APR 23,409,12.96,X,13.53,Q,<empty>,0,20.97%,47.14%,,
,,255,431,13.04%,21.41%,.52,Q,.53,Q,10 APR 23,410,13.86,X,14.45,Q,<empty>,4,21.56%,44.62%,,
,,77,0,13.04%,17.95%,.42,N,.43,I,10 APR 23,411,14.79,X,15.40,Q,<empty>,0,22.26%,42.52%,,
,,46,0,12.97%,14.73%,.33,I,.34,N,10 APR 23,412,15.73,X,16.37,Q,<empty>,0,23.00%,40.69%,,
,,19,0,13.05%,12.37%,.27,N,.28,I,10 APR 23,413,16.71,X,17.36,Q,<empty>,0,23.85%,39.24%,,
,,23,0,13.02%,10.03%,.21,I,.22,P,10 APR 23,414,17.71,X,18.36,Q,2,0,24.77%,38.04%,,
,,193,0,13.10%,8.34%,.17,N,.18,I,10 APR 23,415,18.71,X,19.36,Q,<empty>,0,25.67%,36.93%,,
,,175,0,13.06%,6.65%,.13,I,.14,T,10 APR 23,416,19.71,X,20.36,Q,<empty>,0,26.56%,35.88%,,
,,28,0,13.26%,5.68%,.11,N,.12,I,10 APR 23,417,20.71,X,21.36,Q,<empty>,0,27.44%,34.91%,,
,,24,0,13.40%,4.76%,.09,P,.10,I,10 APR 23,418,21.71,X,22.36,Q,<empty>,0,28.31%,34.00%,,
,,1,0,13.45%,3.84%,.07,Z,.08,Q,10 APR 23,419,22.71,X,23.36,Q,<empty>,0,29.16%,33.15%,,
,,36,0,13.68%,3.33%,.06,P,.07,Q,10 APR 23,420,23.71,X,24.36,Q,<empty>,0,30.01%,32.34%,,
,,1,0,13.48%,2.42%,.04,Z,.05,Q,10 APR 23,421,24.71,X,25.36,Q,<empty>,0,30.86%,31.59%,,
,,18,0,13.97%,2.34%,.04,Z,.05,Q,10 APR 23,422,25.71,X,26.36,Q,<empty>,0,31.69%,30.87%,,

11 APR 23  (13)  100
,,Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch,,
,,<empty>,0,--,0.00%,46.33,X,46.99,X,11 APR 23,350,.10,Q,.11,Z,19,0,30.24%,2.95%,,
,,<empty>,0,--,0.00%,36.42,X,37.07,X,11 APR 23,360,.17,Q,.18,Q,193,0,26.37%,5.13%,,
,,2,0,--,0.00%,26.68,X,27.28,X,11 APR 23,370,.39,Q,.40,N,637,0,23.53%,11.26%,,
,,1,0,0.05%,0.00%,17.43,X,17.92,X,11 APR 23,380,1.06,D,1.08,P,765,0,21.53%,27.38%,,
,,12,0,12.29%,16.58%,13.19,X,13.59,X,11 APR 23,385,1.76,Q,1.79,Q,208,0,20.76%,41.84%,,
,,5,0,12.94%,22.63%,12.38,X,12.76,X,11 APR 23,386,1.94,P,1.97,P,83,0,20.59%,45.29%,,
,,2,0,13.44%,28.77%,11.59,X,11.96,X,11 APR 23,387,2.14,P,2.17,P,17,0,20.44%,49.00%,,
,,6,0,13.79%,34.84%,10.82,X,11.17,X,11 APR 23,388,2.36,P,2.39,P,70,0,20.30%,52.94%,,
,,30,0,14.03%,40.92%,10.06,X,10.40,X,11 APR 23,389,2.60,P,2.63,P,40,0,20.17%,57.09%,,
,,583,0,14.22%,47.21%,9.33,X,9.65,X,11 APR 23,390,2.87,M,2.88,N,331,0,20.04%,61.44%,,
,,422,0,14.33%,53.56%,8.61,X,8.92,X,11 APR 23,391,3.14,Z,3.16,N,158,0,19.89%,65.94%,,
,,578,0,14.41%,60.12%,7.92,X,8.21,X,11 APR 23,392,3.43,P,3.46,N,21,0,19.73%,70.64%,,
,,247,0,14.46%,66.86%,7.25,X,7.53,X,11 APR 23,393,3.76,Z,3.79,P,98,0,19.61%,75.57%,,
,,400,0,14.56%,73.94%,6.75,P,6.78,N,11 APR 23,394,4.11,Z,4.14,P,304,0,19.49%,80.64%,,
,,439,0,14.53%,80.95%,6.12,Q,6.15,N,11 APR 23,395,4.48,P,4.52,P,"1,019",0,19.36%,85.87%,,
,,995,0,14.51%,88.19%,5.53,P,5.56,Z,11 APR 23,396,4.89,Z,4.92,P,593,0,19.25%,91.22%,,
,,109,0,14.44%,95.53%,4.96,P,4.99,N,11 APR 23,397,5.32,P,5.36,P,122,0,19.15%,96.69%,,
,,107,0,14.36%,97.21%,4.42,P,4.45,N,11 APR 23,398,5.79,Z,5.83,P,39,0,19.07%,97.86%,,
,,125,0,14.29%,90.20%,3.92,P,3.95,N,11 APR 23,399,6.14,X,6.44,X,1,0,18.94%,92.47%,,
,,465,0,14.20%,83.17%,3.45,P,3.48,N,11 APR 23,400,6.67,X,6.99,X,73,0,18.92%,87.13%,,
,,189,0,14.10%,76.17%,3.02,N,3.04,N,11 APR 23,401,7.23,X,7.57,X,20,0,18.90%,81.83%,,
,,566,0,14.00%,69.26%,2.62,N,2.64,N,11 APR 23,402,7.83,X,8.20,X,41,0,18.94%,76.69%,,
,,458,0,13.90%,62.49%,2.25,Q,2.28,Q,11 APR 23,403,8.47,X,8.86,X,5,0,19.02%,71.72%,,
,,273,0,13.77%,55.87%,1.92,P,1.94,N,11 APR 23,404,9.14,X,9.56,X,<empty>,0,19.13%,66.96%,,
,,174,0,13.69%,49.63%,1.63,Z,1.65,N,11 APR 23,405,9.85,X,10.29,X,7,0,19.28%,62.47%,,
,,75,0,13.55%,43.55%,1.36,P,1.38,N,11 APR 23,406,10.59,X,11.07,X,58,0,19.51%,58.31%,,
,,175,0,13.49%,38.09%,1.14,Z,1.16,W,11 APR 23,407,11.37,X,11.88,X,<empty>,0,19.79%,54.50%,,
,,99,0,13.40%,32.90%,.94,P,.96,P,11 APR 23,408,12.19,X,12.73,X,<empty>,0,20.17%,51.12%,,
,,162,0,13.32%,28.20%,.77,Q,.79,Q,11 APR 23,409,13.04,X,13.61,X,<empty>,0,20.61%,48.11%,,
,,927,0,13.27%,24.04%,.63,Q,.65,I,11 APR 23,410,13.92,X,14.52,X,18,0,21.13%,45.48%,,
,,305,0,13.22%,20.30%,.51,Q,.53,I,11 APR 23,411,14.84,X,15.45,X,<empty>,0,21.75%,43.26%,,
,,40,0,13.22%,17.14%,.42,N,.43,Q,11 APR 23,412,15.77,X,16.41,X,20,0,22.42%,41.33%,,
,,17,0,13.17%,14.22%,.33,I,.35,I,11 APR 23,413,16.73,X,17.38,X,<empty>,0,23.16%,39.71%,,
,,170,0,13.23%,9.92%,.22,Q,.23,Q,11 APR 23,415,18.71,X,19.38,X,<empty>,0,24.87%,37.28%,,
,,26,0,13.42%,3.69%,.07,Z,.08,N,11 APR 23,420,23.71,X,24.38,X,<empty>,0,29.06%,32.67%,,
,,29,0,15.11%,0.78%,.01,Z,.02,Q,11 APR 23,430,33.71,X,34.38,X,<empty>,0,36.87%,26.57%,,
,,2,0,17.19%,0.24%,0,J,.01,N,11 APR 23,440,43.70,X,44.37,X,<empty>,0,44.10%,22.63%,,
,,<empty>,0,20.67%,0.20%,0,J,.01,Z,11 APR 23,450,53.70,X,54.37,X,<empty>,0,51.03%,19.95%,,

14 APR 23  (16)  100 (Weeklys)
,,Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch,,
,,<empty>,"2,220",12.50%,4.23%,20.98,X,21.45,X,14 APR 23,377,1.35,Z,1.36,N,425,"1,761",23.50%,28.73%,,
,,<empty>,"1,556",13.98%,8.49%,20.10,X,20.56,X,14 APR 23,378,1.46,I,1.48,Z,"8,414","2,905",23.32%,30.81%,,
,,<empty>,"1,154",14.93%,12.66%,19.24,X,19.69,X,14 APR 23,379,1.59,W,1.61,W,457,"4,663",23.17%,33.09%,,
,,15,"1,204",15.53%,16.53%,18.39,X,18.82,X,14 APR 23,380,1.73,Z,1.75,W,"3,280","13,903",23.02%,35.48%,,
,,2,858,15.93%,20.25%,17.54,X,17.96,X,14 APR 23,381,1.88,Z,1.89,Q,127,626,22.85%,37.96%,,
,,9,882,16.28%,24.19%,16.71,X,17.12,X,14 APR 23,382,2.04,Z,2.06,I,"1,873","6,754",22.71%,40.67%,,
,,<empty>,564,16.52%,26.49%,16.38,X,16.66,X,14 APR 23,382.5,2.12,T,2.14,P,40,"1,403",22.61%,42.01%,,
,,2,565,16.62%,28.40%,15.97,X,16.24,X,14 APR 23,383,2.21,Z,2.23,I,613,"1,535",22.54%,43.44%,,
,,<empty>,"1,091",16.86%,32.60%,15.18,X,15.43,X,14 APR 23,384,2.39,E,2.41,Z,893,"2,774",22.37%,46.34%,,
,,2,"5,033",16.97%,36.64%,14.37,X,14.63,X,14 APR 23,385,2.59,T,2.61,Z,"1,603","4,643",22.22%,49.44%,,
,,9,"2,231",16.88%,40.31%,13.52,X,13.82,X,14 APR 23,386,2.80,I,2.82,Z,"1,497","3,981",22.05%,52.65%,,
,,7,"1,174",16.95%,44.73%,12.76,X,13.04,X,14 APR 23,387,3.03,Z,3.05,Z,803,"2,002",21.90%,56.04%,,
,,<empty>,"1,355",17.04%,47.15%,12.38,X,12.69,X,14 APR 23,387.5,3.15,Z,3.17,Z,201,"3,288",21.82%,57.79%,,
,,3,"2,537",16.98%,49.23%,12.00,X,12.28,X,14 APR 23,388,3.27,T,3.29,N,624,"2,612",21.73%,59.54%,,
,,38,"2,781",17.07%,54.09%,11.27,X,11.57,X,14 APR 23,389,3.53,Z,3.55,Z,824,"3,072",21.58%,63.21%,,
,,82,"1,741",16.98%,58.71%,10.55,X,10.80,X,14 APR 23,390,3.80,E,3.82,Z,"2,224","9,403",21.40%,66.98%,,
,,302,"1,354",17.04%,63.85%,9.98,P,10.01,P,14 APR 23,391,4.10,N,4.12,Z,178,"1,492",21.26%,70.95%,,
,,432,"1,902",16.98%,68.92%,9.29,P,9.32,T,14 APR 23,392,4.40,I,4.43,N,"1,070","2,578",21.08%,75.00%,,
,,293,"2,292",16.93%,71.50%,8.95,P,8.98,Z,14 APR 23,392.5,4.57,Z,4.59,N,541,"1,033",21.00%,77.09%,,
,,295,"2,619",16.90%,74.14%,8.62,N,8.65,T,14 APR 23,393,4.74,Z,4.76,N,540,"1,717",20.93%,79.22%,,
,,753,851,16.81%,79.51%,7.97,N,8.00,Z,14 APR 23,394,5.09,T,5.12,I,"2,635","3,957",20.78%,83.55%,,
,,"2,325","2,090",16.70%,85.02%,7.34,P,7.37,Z,14 APR 23,395,5.46,I,5.49,N,"3,266","4,522",20.61%,87.99%,,
,,"1,836","1,817",16.60%,90.69%,6.74,Z,6.77,I,14 APR 23,396,5.86,E,5.89,N,"1,542","3,435",20.46%,92.54%,,
,,"1,452","1,976",16.48%,96.47%,6.16,T,6.19,I,14 APR 23,397,6.29,Z,6.32,N,424,"3,267",20.34%,97.18%,,
,,166,"1,977",16.42%,99.41%,5.88,P,5.91,Z,14 APR 23,397.5,6.51,E,6.54,N,141,"3,146",20.27%,99.53%,,
,,776,"2,310",16.37%,97.77%,5.62,N,5.63,N,14 APR 23,398,6.74,N,6.77,N,446,"3,122",20.21%,98.17%,,
,,576,"1,763",16.23%,92.15%,5.08,I,5.11,Z,14 APR 23,399,7.22,Z,7.25,N,59,"2,336",20.10%,93.56%,,
,,"1,542","4,109",16.09%,86.47%,4.58,E,4.61,I,14 APR 23,400,7.73,Z,7.76,N,146,"3,552",20.01%,88.95%,,
,,336,"1,246",15.96%,80.77%,4.11,I,4.14,I,14 APR 23,401,8.24,B,8.33,T,13,902,19.94%,84.36%,,
,,403,"1,606",15.81%,75.06%,3.67,I,3.69,N,14 APR 23,402,8.77,B,9.01,X,8,"1,124",19.99%,79.91%,,
,,967,797,15.74%,72.22%,3.46,I,3.48,I,14 APR 23,402.5,8.99,X,9.23,X,6,795,19.74%,77.43%,,
,,562,"1,482",15.67%,69.41%,3.26,Z,3.28,I,14 APR 23,403,9.36,X,9.62,X,1,"1,012",19.96%,75.45%,,
,,612,"1,083",15.52%,63.81%,2.87,I,2.90,E,14 APR 23,404,9.97,X,10.18,X,106,"1,442",19.81%,70.92%,,
,,"2,092","3,040",15.38%,58.32%,2.52,I,2.54,I,14 APR 23,405,10.64,X,10.93,X,17,862,19.98%,66.90%,,
,,874,"1,359",15.25%,53.01%,2.20,N,2.22,Z,14 APR 23,406,11.24,X,11.53,X,152,504,19.73%,62.36%,,
,,748,"1,595",15.09%,47.80%,1.90,I,1.92,N,14 APR 23,407,12.05,X,12.37,T,<empty>,890,20.15%,59.07%,,
,,72,846,15.05%,45.37%,1.77,I,1.79,Z,14 APR 23,407.5,12.42,X,12.76,X,<empty>,631,20.23%,57.28%,,
,,621,"1,217",14.98%,42.92%,1.64,I,1.66,Z,14 APR 23,408,12.70,X,13.16,X,26,"1,036",20.16%,55.24%,,
,,90,"2,797",14.84%,38.20%,1.40,I,1.42,N,14 APR 23,409,13.48,X,13.97,Q,9,"1,043",20.37%,51.93%,,
